"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3643","Login with invalid credentials","chromium","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","4245","Add to cart from products page","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","20407","Navigate to signup page and register a new user","chromium","2026-09-21","failed","2026-09-21","","ui/register.spec.ts","",""
"","4769","Delete a product from cart","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","10102","Increase product quantity in view products page","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4565","Add to cart from products page","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","7462","Add a product to cart and checkout","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","2763","Navigate to products page","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4738","Increase product quantity in view products page","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","27216","Navigate to signup page and register a new user","webkit","2026-09-21","passed","2026-09-21","","ui/register.spec.ts","",""
"","1153","Verify Login API","webkit","2026-09-21","passed","2026-09-21","","api/login.spec.ts","",""
"","30703","Delete the created user account","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","5042","View product details","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","1255","User tests","chromium","2026-09-21","passed","2026-09-21","","api/user.spec.ts","",""
"","2902","Navigate to products page","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4640","Increase product quantity in view products page","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","3792","Search for a product","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4670","View product details","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4496","Login with invalid credentials","webkit","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","9766","Navigate to products page","webkit","2026-09-21","failed","2026-09-21","","ui/products.spec.ts","",""
"","4801","View product details","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","9773","Login with valid credentials","webkit","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","1125","User tests","firefox","2026-09-21","passed","2026-09-21","","api/user.spec.ts","",""
"","1018","Verify Login API","chromium","2026-09-21","passed","2026-09-21","","api/login.spec.ts","",""
"","5676","Add to cart from product details page","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","8087","Add to cart from product details page","chromium","2026-09-21","failed","2026-09-21","","ui/products.spec.ts","",""
"","8082","Add to cart from product details page","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","4511","Login with valid credentials","chromium","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","5250","Login with valid credentials","firefox","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","4651","Add a product to cart and checkout","chromium","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","30331","Fill in the signup form and submit","firefox","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","8436","Delete a product from cart","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","1011","Verify Login API","firefox","2026-09-21","passed","2026-09-21","","api/login.spec.ts","",""
"","5348","Add a product to cart and checkout","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","5597","Add to cart from products page","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","1158","User tests","webkit","2026-09-21","passed","2026-09-21","","api/user.spec.ts","",""
"","30621","Delete the created user account","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","4183","Search for a product","firefox","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","20416","Navigate to signup page and register a new user","firefox","2026-09-21","passed","2026-09-21","","ui/register.spec.ts","",""
"","30918","Fill in the signup form and submit","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","643","Product tests","firefox","2026-09-21","passed","2026-09-21","","api/products.spec.ts","",""
"","745","Product tests","chromium","2026-09-21","passed","2026-09-21","","api/products.spec.ts","",""
"","848","Product tests","webkit","2026-09-21","passed","2026-09-21","","api/products.spec.ts","",""
"","9318","Delete a product from cart","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","34024","Delete the created user account","webkit","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
"","7178","Search for a product","webkit","2026-09-21","passed","2026-09-21","","ui/products.spec.ts","",""
"","3823","Login with invalid credentials","firefox","2026-09-21","passed","2026-09-21","","ui/login.spec.ts","",""
"","31456","Fill in the signup form and submit","chromium","2026-07-08","broken","2026-07-08","","ui/register.spec.ts","",""
